;Telescope run;Temperature;nChannels;Name;Voltage;;;;;;;;;;;;;;;;
1504833898;3668;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504834599;3669;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504835228;3670;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504836010;3671;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504853409;3691;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504854923;3693;24;6;W9-LGA35;180;50D-GBGR2;180;W4-LG12;80;SiPM-AFP;26,5;W4-S215;80;W4-S215;80;W4-S215;80;W4-S215;80;;
1504865427;3701;24;6;W9-LGA35;200;50D-GBGR2;200;W4-LG12;90;SiPM-AFP;26,5;W4-S215;90;W4-S215;90;W4-S215;90;W4-S215;90;;
1504888768;3740;24;6;W9-LGA35;220;50D-GBGR2;220;W4-LG12;100;SiPM-AFP;26,5;W4-S215;100;W4-S215;100;W4-S215;100;W4-S215;100;;
1504890115;3741;24;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;110;SiPM-AFP;26,5;W4-S215;110;W4-S215;110;W4-S215;110;W4-S215;110;;
1504891111;3742;24;6;W9-LGA35;240;50D-GBGR2;240;W4-LG12;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;W4-S215;120;;
1504891913;3743;24;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;125;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504893255;3745;24;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;W4-S215;120;;
1504894541;3747;24;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;W4-S215;120;;
1504895590;3748;24;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;W4-S215;120;;
1504896394;3749;24;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;W4-S215;120;;
1504897360;3750;24;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;W4-S215;120;;
1504899897;3751;23;6;W9-LGA35;180;50D-GBGR2;180;W4-LG12;80;W4-S215;80;SiPM-AFP;26,5;W4-S215;80;W4-S215;80;SiPM-AFP;26,5;;
1504901141;3752;23;6;W9-LGA35;200;50D-GBGR2;200;W4-LG12;90;W4-S215;90;SiPM-AFP;26,5;W4-S215;90;W4-S215;90;SiPM-AFP;26,5;;
1504902956;3753;23;6;W9-LGA35;220;50D-GBGR2;220;W4-LG12;100;W4-S215;100;SiPM-AFP;26,5;W4-S215;100;W4-S215;100;SiPM-AFP;26,5;;
1504903764;3754;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;110;W4-S215;110;SiPM-AFP;26,5;W4-S215;110;W4-S215;110;SiPM-AFP;26,5;;
1504904519;3755;23;6;W9-LGA35;240;50D-GBGR2;240;W4-LG12;120;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504944107;3785;23;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;125;W4-S215;125;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;SiPM-AFP;26,5;;
1504945362;3786;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;SiPM-AFP;26,5;;
1504946329;3787;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;SiPM-AFP;26,5;;
1504947269;3788;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504948123;3789;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504949018;3790;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504949898;3791;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504950714;3792;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504951486;3793;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504952424;3794;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504953251;3795;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504954053;3796;23;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;125;W4-S215;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;SiPM-AFP;26,5;;
1504955229;3797;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;80;W4-S1022;80;W4-RD01;80;W4-RD01;80;x;x;W4-RD01;80;;
1504956054;3798;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;80;W4-S1022;80;W4-RD01;80;W4-RD01;80;x;x;W4-RD01;80;;
1504956907;3799;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;100;W4-S1022;90;W4-RD01;90;W4-RD01;90;x;x;W4-RD01;90;;
1504957873;3800;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;120;W4-S1022;100;W4-RD01;100;W4-RD01;100;x;x;W4-RD01;100;;
1504958794;3801;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;110;W4-RD01;110;W4-RD01;110;x;x;W4-RD01;110;;
1504959706;3802;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;150;W4-S1022;105;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1504960732;3803;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505001742;3844;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505003975;3845;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505005814;3846;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505007024;3848;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505008064;3849;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505009123;3850;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505010248;3851;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505011342;3852;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505012342;3853;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505013532;3854;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505014681;3855;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505035429;3863;23;6;W9-LGA35;220;W4-S203;220;W4-S1061;140;W4-S1022;90;W4-RD01;120;W4-RD01;120;x;x;W4-RD01;120;;
1505036154;3864;-21;6;W4-S203;70;W4-S215;70;W4-S1061;90;W4-S1022;80;SiPM-AFP;26,5;W4-S215;60;W4-S215;60;SiPM-AFP;26,5;;
1505036746;3865;-21;6;W4-S203;70;W4-S215;70;W4-S1061;90;W4-S1022;80;SiPM-AFP;26,5;W4-S215;60;W4-S215;60;SiPM-AFP;26,5;;
1505037456;3866;-21;6;W4-S203;70;W4-S215;70;W4-S1061;90;W4-S1022;80;SiPM-AFP;26,5;W4-S215;60;W4-S215;60;SiPM-AFP;26,5;;
1505038239;3867;-21;6;W4-S203;70;W4-S215;70;W4-S1061;90;W4-S1022;80;SiPM-AFP;26,5;W4-S215;60;W4-S215;60;SiPM-AFP;26,5;;
1505039099;3868;-21;6;W4-S203;70;W4-S215;70;W4-S1061;90;W4-S1022;80;SiPM-AFP;26,5;W4-S215;60;W4-S215;60;SiPM-AFP;26,5;;
1505040019;3869;-21;6;W4-S203;65;W4-S215;65;W4-S1061;80;W4-S1022;70;SiPM-AFP;26,5;W4-S215;55;W4-S215;55;SiPM-AFP;26,5;;
1505041059;3870;-21;6;W4-S203;60;W4-S215;60;W4-S1061;70;W4-S1022;60;SiPM-AFP;26,5;W4-S215;50;W4-S215;50;SiPM-AFP;26,5;;
1505041851;3871;-21;6;W4-S203;55;W4-S215;55;W4-S1061;60;W4-S1022;50;SiPM-AFP;26,5;W4-S215;45;W4-S215;45;SiPM-AFP;26,5;;
1505042699;3872;-21;6;W4-S203;50;W4-S215;50;W4-S1061;50;W4-S1022;40;SiPM-AFP;26,5;W4-S215;40;W4-S215;40;SiPM-AFP;26,5;;
1505043552;3873;-21;6;W4-S203;45;W4-S215;45;W4-S1061;40;W4-S1022;90;SiPM-AFP;26,5;W4-S215;35;W4-S215;35;SiPM-AFP;26,5;;
1505044586;3874;-21;6;W4-S203;65;W4-S215;65;W4-S1061;80;W4-S1022;70;SiPM-AFP;26,5;W4-S215;55;W4-S215;55;SiPM-AFP;26,5;;
1505045466;3875;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;300;W4-S204_6e14;300;SiPM-AFP;26,5;;
1505046356;3876;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;290;W4-S204_6e14;290;SiPM-AFP;26,5;;
1505047322;3877;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;270;W4-S204_6e14;270;SiPM-AFP;26,5;;
1505048114;3878;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505048879;3879;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;230;W4-S204_6e14;230;SiPM-AFP;26,5;;
#REF!;#REF!;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;200;W4-S204_6e14;200;SiPM-AFP;26,5;;
#REF!;#REF!;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;200;W4-S204_6e14;200;SiPM-AFP;26,5;;
1505056046;3889;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505057795;3890;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505059124;3891;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505060526;3892;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505062148;3893;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505063433;3894;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505064756;3895;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505065984;3896;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505067467;3897;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505068982;3898;-21;6;W4-S203;60;W4-S215;60;W4-S1061;85;W4-S1022;90;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
1505070204;3899;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
1505071452;3900;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
1505072697;3901;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505074143;3902;-21;6;W4-RD01;75;W4-RD01;75;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505075550;3903;-21;6;W4-RD01;70;W4-RD01;70;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505121323;3908;-21;6;W4-RD01;65;W4-RD01;65;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505122308;3909;-21;6;W4-RD01;50;W4-RD01;50;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
